word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
头发,0.008420,0.057502,-0.089533,0.130624,100,0.146425
裤子,0.008371,0.065046,-0.110037,0.129794,100,0.128697
政委,0.008341,0.065082,-0.123932,0.123964,100,0.128161
婚姻,0.008235,0.053308,-0.077216,0.115460,100,0.154486
阴霾,0.008212,0.062489,-0.120453,0.127335,100,0.131414
障碍,0.008209,0.057706,-0.088848,0.137113,100,0.142250
秘密,0.008079,0.055304,-0.098962,0.101302,100,0.146088
火焰,0.007990,0.065396,-0.121896,0.136198,100,0.122179
脸贴,0.007955,0.064328,-0.103938,0.137156,100,0.123663
屁股,0.007952,0.067315,-0.101285,0.139611,100,0.118128
辛酸,0.007921,0.065684,-0.138446,0.128405,100,0.120591
割肉,0.007888,0.061155,-0.107370,0.124298,100,0.128988
无力,0.007707,0.056292,-0.081393,0.118927,100,0.136902
火气,0.007605,0.060900,-0.124260,0.122525,100,0.124878
宝贝,0.007556,0.053736,-0.086758,0.116109,100,0.140609
命运,0.007427,0.061737,-0.108806,0.149909,100,0.120302
苍蝇,0.007415,0.061808,-0.094484,0.126879,100,0.119976
机关,0.007403,0.054844,-0.092284,0.109892,100,0.134981
目标,0.007389,0.071348,-0.145421,0.154475,100,0.103556
平原,0.007263,0.062224,-0.103415,0.122043,100,0.116726
证实,0.007262,0.065522,-0.114613,0.130103,100,0.110839
时候,0.007249,0.061163,-0.115433,0.115820,100,0.118526
怒气,0.007232,0.060235,-0.091500,0.130094,100,0.120068
秋风,0.007109,0.060660,-0.112626,0.113024,100,0.117200
幻想,0.007065,0.072970,-0.137488,0.126777,100,0.096819
作响,0.006973,0.064997,-0.112930,0.122643,100,0.107282
阵地,0.006805,0.058215,-0.108648,0.116672,100,0.116896
美国,0.006756,0.066319,-0.127379,0.107864,100,0.101873
儿媳妇,0.006701,0.059553,-0.092923,0.132526,100,0.112517
坏事,0.006658,0.065053,-0.109270,0.135805,100,0.102350
波澜,0.006648,0.060459,-0.114843,0.111766,100,0.109964
青春,0.006634,0.056622,-0.091289,0.116017,100,0.117170
小说,0.006595,0.064774,-0.113892,0.129646,100,0.101818
剪刀,0.006563,0.064759,-0.113300,0.138282,100,0.101352
红军,0.006550,0.072553,-0.117919,0.167276,100,0.090282
衣裳,0.006501,0.061007,-0.106646,0.104432,100,0.106562
设想,0.006367,0.064459,-0.123696,0.125801,100,0.098782
梦境,0.006351,0.065886,-0.117652,0.134801,100,0.096389
眉间,0.006303,0.059019,-0.101487,0.125390,100,0.106801
直觉,0.006235,0.065876,-0.125733,0.126088,100,0.094641
周身,0.006213,0.062446,-0.117908,0.116666,100,0.099500
傻瓜,0.006090,0.058829,-0.118926,0.100168,100,0.103527
寒意,0.006089,0.056262,-0.106505,0.109349,100,0.108229
尖刀,0.006082,0.061575,-0.116490,0.123490,100,0.098781
战争,0.006043,0.064902,-0.146962,0.108815,100,0.093106
热气,0.006033,0.058499,-0.107758,0.107725,100,0.103122
窝囊,0.006017,0.065276,-0.137980,0.120107,100,0.092174
温馨,0.006014,0.061653,-0.115077,0.120453,100,0.097545
朝廷,0.006011,0.049092,-0.088759,0.112275,100,0.122435
胸腔,0.006000,0.065672,-0.148964,0.124367,100,0.091358
假装,0.005966,0.053536,-0.095153,0.105492,100,0.111441
烦透了,0.005961,0.061389,-0.102740,0.134315,98,0.097098
天地,0.005931,0.052409,-0.085840,0.101061,100,0.113165
本能,0.005918,0.063776,-0.109919,0.121255,100,0.092789
空虚,0.005903,0.067584,-0.128146,0.122218,100,0.087339
炮兵,0.005732,0.069202,-0.137073,0.128909,100,0.082836
心事,0.005693,0.051702,-0.102666,0.102000,100,0.110117
梁家,0.005685,0.059255,-0.090242,0.105740,100,0.095935
办法,0.005684,0.066266,-0.129651,0.139246,100,0.085782
预感,0.005662,0.061786,-0.113183,0.130988,100,0.091639
嫂子,0.005631,0.058363,-0.107282,0.113273,100,0.096478
师娘,0.005622,0.054887,-0.101071,0.111907,100,0.102421
老百姓,0.005591,0.065385,-0.099431,0.158688,100,0.085515
田野,0.005577,0.063920,-0.119852,0.110002,100,0.087247
指导员,0.005534,0.061071,-0.111784,0.120260,100,0.090620
手臂,0.005526,0.061988,-0.115866,0.115546,100,0.089152
想象,0.005444,0.068902,-0.138782,0.154514,100,0.079006
口袋,0.005399,0.062184,-0.114526,0.106385,100,0.086820
怨愤,0.005350,0.056134,-0.091839,0.105764,100,0.095300
菊花,0.005346,0.055919,-0.104528,0.086314,100,0.095610
手脚,0.005338,0.049719,-0.097533,0.089077,100,0.107367
狐狸,0.005335,0.050590,-0.087429,0.106343,100,0.105465
东海,0.005310,0.054140,-0.099041,0.115939,100,0.098072
事实,0.005295,0.056973,-0.099910,0.098465,100,0.092944
空白,0.005256,0.059125,-0.103353,0.102956,100,0.088899
误会,0.005243,0.060834,-0.107395,0.114367,100,0.086190
潜藏,0.005187,0.061536,-0.097790,0.157457,100,0.084299
胳膊,0.005157,0.072892,-0.139216,0.135789,100,0.070745
时令,0.005154,0.053665,-0.098330,0.100174,100,0.096048
资料,0.005116,0.060007,-0.119834,0.116612,100,0.085262
气愤,0.005107,0.055505,-0.101531,0.102115,100,0.092001
关系,0.005092,0.059061,-0.115764,0.114468,100,0.086220
医生,0.005086,0.060487,-0.098452,0.124588,100,0.084076
人气,0.005083,0.050196,-0.088413,0.100060,100,0.101262
底儿,0.005064,0.069769,-0.122212,0.131052,100,0.072582
方案,0.004999,0.071867,-0.131730,0.135229,100,0.069562
