transition,ensemble_size,split_id,overlap
republican_to_socialist,3,8,0.68
republican_to_socialist,3,9,0.67
republican_to_socialist,3,10,0.73
republican_to_socialist,3,11,0.68
republican_to_socialist,3,12,0.63
republican_to_socialist,3,13,0.58
republican_to_socialist,3,14,0.66
republican_to_socialist,3,15,0.58
republican_to_socialist,3,16,0.65
republican_to_socialist,3,17,0.59
republican_to_socialist,3,18,0.63
republican_to_socialist,3,19,0.62
republican_to_socialist,3,20,0.6
republican_to_socialist,3,21,0.68
republican_to_socialist,3,22,0.62
republican_to_socialist,3,23,0.65
republican_to_socialist,3,24,0.69
republican_to_socialist,3,25,0.6
republican_to_socialist,3,26,0.64
republican_to_socialist,3,27,0.63
republican_to_socialist,3,28,0.69
republican_to_socialist,3,29,0.64
republican_to_socialist,3,30,0.62
republican_to_socialist,3,31,0.64
republican_to_socialist,3,32,0.59
republican_to_socialist,3,33,0.62
republican_to_socialist,3,34,0.65
republican_to_socialist,3,35,0.67
republican_to_socialist,3,36,0.62
republican_to_socialist,3,37,0.68
republican_to_socialist,3,38,0.66
republican_to_socialist,3,39,0.68
republican_to_socialist,3,40,0.69
republican_to_socialist,3,41,0.67
republican_to_socialist,3,42,0.59
republican_to_socialist,3,43,0.63
republican_to_socialist,3,44,0.63
republican_to_socialist,3,45,0.61
republican_to_socialist,3,46,0.66
republican_to_socialist,3,47,0.6
republican_to_socialist,3,48,0.66
republican_to_socialist,3,49,0.67
republican_to_socialist,3,50,0.71
republican_to_socialist,3,51,0.68
republican_to_socialist,3,52,0.62
republican_to_socialist,3,53,0.71
republican_to_socialist,3,54,0.62
republican_to_socialist,3,55,0.69
republican_to_socialist,3,56,0.64
republican_to_socialist,3,57,0.69
republican_to_socialist,3,58,0.66
republican_to_socialist,3,59,0.6
republican_to_socialist,3,60,0.64
republican_to_socialist,3,61,0.63
republican_to_socialist,3,62,0.68
republican_to_socialist,3,63,0.67
republican_to_socialist,3,64,0.63
republican_to_socialist,3,65,0.65
republican_to_socialist,3,66,0.7
republican_to_socialist,3,67,0.7
republican_to_socialist,3,68,0.72
republican_to_socialist,3,69,0.65
republican_to_socialist,3,70,0.65
republican_to_socialist,3,71,0.61
republican_to_socialist,3,72,0.64
republican_to_socialist,3,73,0.69
republican_to_socialist,3,74,0.63
republican_to_socialist,3,75,0.6
republican_to_socialist,3,76,0.7
republican_to_socialist,3,77,0.62
republican_to_socialist,3,78,0.71
republican_to_socialist,3,79,0.6
republican_to_socialist,3,80,0.67
republican_to_socialist,3,81,0.68
republican_to_socialist,3,82,0.66
republican_to_socialist,3,83,0.57
republican_to_socialist,3,84,0.74
republican_to_socialist,3,85,0.62
republican_to_socialist,3,86,0.61
republican_to_socialist,3,87,0.59
republican_to_socialist,3,88,0.65
republican_to_socialist,3,89,0.63
republican_to_socialist,3,90,0.64
republican_to_socialist,3,91,0.68
republican_to_socialist,3,92,0.6
republican_to_socialist,3,93,0.64
republican_to_socialist,3,94,0.67
republican_to_socialist,3,95,0.69
republican_to_socialist,3,96,0.68
republican_to_socialist,3,97,0.67
republican_to_socialist,3,98,0.63
republican_to_socialist,3,99,0.65
republican_to_socialist,3,100,0.74
republican_to_socialist,3,101,0.71
republican_to_socialist,3,102,0.63
republican_to_socialist,3,103,0.63
republican_to_socialist,3,104,0.7
republican_to_socialist,3,105,0.65
republican_to_socialist,3,106,0.67
republican_to_socialist,3,107,0.59
republican_to_socialist,3,108,0.66
republican_to_socialist,3,109,0.71
republican_to_socialist,3,110,0.6
republican_to_socialist,3,111,0.64
republican_to_socialist,3,112,0.68
republican_to_socialist,3,113,0.63
republican_to_socialist,3,114,0.62
republican_to_socialist,3,115,0.67
republican_to_socialist,3,116,0.71
republican_to_socialist,3,117,0.64
republican_to_socialist,3,118,0.63
republican_to_socialist,3,119,0.63
republican_to_socialist,3,120,0.67
republican_to_socialist,3,121,0.65
republican_to_socialist,3,122,0.67
republican_to_socialist,3,123,0.65
republican_to_socialist,3,124,0.62
republican_to_socialist,3,125,0.68
republican_to_socialist,3,126,0.56
republican_to_socialist,3,127,0.7
republican_to_socialist,3,128,0.66
republican_to_socialist,3,129,0.72
republican_to_socialist,3,130,0.56
republican_to_socialist,3,131,0.64
republican_to_socialist,3,132,0.69
republican_to_socialist,3,133,0.57
republican_to_socialist,3,134,0.71
republican_to_socialist,3,135,0.64
republican_to_socialist,3,136,0.62
republican_to_socialist,3,137,0.65
republican_to_socialist,3,138,0.53
republican_to_socialist,3,139,0.63
republican_to_socialist,3,140,0.68
republican_to_socialist,3,141,0.66
republican_to_socialist,3,142,0.68
republican_to_socialist,3,143,0.66
republican_to_socialist,3,144,0.69
republican_to_socialist,3,145,0.6
republican_to_socialist,3,146,0.64
republican_to_socialist,3,147,0.7
republican_to_socialist,3,148,0.64
republican_to_socialist,3,149,0.64
republican_to_socialist,3,150,0.63
republican_to_socialist,3,151,0.64
republican_to_socialist,3,152,0.69
republican_to_socialist,3,153,0.59
republican_to_socialist,3,154,0.55
republican_to_socialist,3,155,0.58
republican_to_socialist,3,156,0.61
republican_to_socialist,3,157,0.59
republican_to_socialist,3,158,0.66
republican_to_socialist,3,159,0.64
republican_to_socialist,3,160,0.63
republican_to_socialist,3,161,0.67
republican_to_socialist,3,162,0.6
republican_to_socialist,3,163,0.6
republican_to_socialist,3,164,0.61
republican_to_socialist,3,165,0.6
republican_to_socialist,3,166,0.64
republican_to_socialist,3,167,0.67
republican_to_socialist,3,168,0.57
republican_to_socialist,3,169,0.64
republican_to_socialist,3,170,0.67
republican_to_socialist,3,171,0.63
republican_to_socialist,3,172,0.67
republican_to_socialist,3,173,0.52
republican_to_socialist,3,174,0.63
republican_to_socialist,3,175,0.61
republican_to_socialist,3,176,0.66
republican_to_socialist,3,177,0.74
republican_to_socialist,3,178,0.66
republican_to_socialist,3,179,0.67
republican_to_socialist,3,180,0.7
republican_to_socialist,3,181,0.71
republican_to_socialist,3,182,0.68
republican_to_socialist,3,183,0.62
republican_to_socialist,3,184,0.68
republican_to_socialist,3,185,0.62
republican_to_socialist,3,186,0.66
republican_to_socialist,3,187,0.74
republican_to_socialist,3,188,0.53
republican_to_socialist,3,189,0.63
republican_to_socialist,3,190,0.64
republican_to_socialist,3,191,0.65
republican_to_socialist,3,192,0.69
republican_to_socialist,3,193,0.68
republican_to_socialist,3,194,0.61
republican_to_socialist,3,195,0.68
republican_to_socialist,3,196,0.67
republican_to_socialist,3,197,0.67
republican_to_socialist,3,198,0.59
republican_to_socialist,3,199,0.7
republican_to_socialist,3,200,0.65
socialist_to_contemporary,3,1,0.61
socialist_to_contemporary,3,2,0.61
socialist_to_contemporary,3,3,0.61
socialist_to_contemporary,3,4,0.64
socialist_to_contemporary,3,5,0.56
socialist_to_contemporary,3,6,0.62
socialist_to_contemporary,3,7,0.69
socialist_to_contemporary,3,8,0.59
socialist_to_contemporary,3,9,0.55
socialist_to_contemporary,3,10,0.56
socialist_to_contemporary,3,11,0.59
socialist_to_contemporary,3,12,0.66
socialist_to_contemporary,3,13,0.57
socialist_to_contemporary,3,14,0.67
socialist_to_contemporary,3,15,0.6
socialist_to_contemporary,3,16,0.59
socialist_to_contemporary,3,17,0.6
socialist_to_contemporary,3,18,0.59
socialist_to_contemporary,3,19,0.66
socialist_to_contemporary,3,20,0.6
socialist_to_contemporary,3,21,0.57
socialist_to_contemporary,3,22,0.58
socialist_to_contemporary,3,23,0.62
socialist_to_contemporary,3,24,0.58
socialist_to_contemporary,3,25,0.59
socialist_to_contemporary,3,26,0.58
socialist_to_contemporary,3,27,0.63
socialist_to_contemporary,3,28,0.55
socialist_to_contemporary,3,29,0.59
socialist_to_contemporary,3,30,0.57
socialist_to_contemporary,3,31,0.61
socialist_to_contemporary,3,32,0.59
socialist_to_contemporary,3,33,0.67
socialist_to_contemporary,3,34,0.61
socialist_to_contemporary,3,35,0.59
socialist_to_contemporary,3,36,0.6
socialist_to_contemporary,3,37,0.66
socialist_to_contemporary,3,38,0.62
socialist_to_contemporary,3,39,0.65
socialist_to_contemporary,3,40,0.64
socialist_to_contemporary,3,41,0.61
socialist_to_contemporary,3,42,0.67
socialist_to_contemporary,3,43,0.64
socialist_to_contemporary,3,44,0.66
socialist_to_contemporary,3,45,0.65
socialist_to_contemporary,3,46,0.55
socialist_to_contemporary,3,47,0.62
socialist_to_contemporary,3,48,0.62
socialist_to_contemporary,3,49,0.59
socialist_to_contemporary,3,50,0.63
socialist_to_contemporary,3,51,0.58
socialist_to_contemporary,3,52,0.56
socialist_to_contemporary,3,53,0.6
socialist_to_contemporary,3,54,0.61
socialist_to_contemporary,3,55,0.65
socialist_to_contemporary,3,56,0.53
socialist_to_contemporary,3,57,0.64
socialist_to_contemporary,3,58,0.61
socialist_to_contemporary,3,59,0.56
socialist_to_contemporary,3,60,0.58
socialist_to_contemporary,3,61,0.61
socialist_to_contemporary,3,62,0.57
socialist_to_contemporary,3,63,0.63
socialist_to_contemporary,3,64,0.58
socialist_to_contemporary,3,65,0.58
socialist_to_contemporary,3,66,0.61
socialist_to_contemporary,3,67,0.6
socialist_to_contemporary,3,68,0.57
socialist_to_contemporary,3,69,0.58
socialist_to_contemporary,3,70,0.6
socialist_to_contemporary,3,71,0.51
socialist_to_contemporary,3,72,0.64
socialist_to_contemporary,3,73,0.61
socialist_to_contemporary,3,74,0.59
socialist_to_contemporary,3,75,0.61
socialist_to_contemporary,3,76,0.58
socialist_to_contemporary,3,77,0.57
socialist_to_contemporary,3,78,0.63
socialist_to_contemporary,3,79,0.65
socialist_to_contemporary,3,80,0.63
socialist_to_contemporary,3,81,0.68
socialist_to_contemporary,3,82,0.62
socialist_to_contemporary,3,83,0.61
socialist_to_contemporary,3,84,0.57
socialist_to_contemporary,3,85,0.7
socialist_to_contemporary,3,86,0.62
socialist_to_contemporary,3,87,0.53
socialist_to_contemporary,3,88,0.56
socialist_to_contemporary,3,89,0.64
socialist_to_contemporary,3,90,0.65
socialist_to_contemporary,3,91,0.64
socialist_to_contemporary,3,92,0.6
socialist_to_contemporary,3,93,0.62
socialist_to_contemporary,3,94,0.62
socialist_to_contemporary,3,95,0.64
socialist_to_contemporary,3,96,0.57
socialist_to_contemporary,3,97,0.54
socialist_to_contemporary,3,98,0.63
socialist_to_contemporary,3,99,0.58
socialist_to_contemporary,3,100,0.54
socialist_to_contemporary,3,101,0.56
socialist_to_contemporary,3,102,0.62
socialist_to_contemporary,3,103,0.62
socialist_to_contemporary,3,104,0.65
socialist_to_contemporary,3,105,0.59
socialist_to_contemporary,3,106,0.56
socialist_to_contemporary,3,107,0.61
socialist_to_contemporary,3,108,0.55
socialist_to_contemporary,3,109,0.64
socialist_to_contemporary,3,110,0.59
socialist_to_contemporary,3,111,0.63
socialist_to_contemporary,3,112,0.62
socialist_to_contemporary,3,113,0.6
socialist_to_contemporary,3,114,0.58
socialist_to_contemporary,3,115,0.63
socialist_to_contemporary,3,116,0.61
socialist_to_contemporary,3,117,0.65
socialist_to_contemporary,3,118,0.56
socialist_to_contemporary,3,119,0.59
socialist_to_contemporary,3,120,0.64
