word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
对方,0.065974,0.041607,-0.016759,0.140622,100,1.585657,712,1276,25,42,0.004871,0.168317
布满,0.065930,0.039015,-0.007728,0.140732,100,1.689893,153,163,5,7,-0.003338,0.138614
平衡,0.065925,0.038599,-0.003607,0.145341,100,1.707939,27,116,0,16,0.004681,0.168317
驱除,0.065860,0.039928,-0.019374,0.150994,100,1.649485,6,20,1,6,-0.004563,0.108911
可能性,0.065842,0.038349,-0.006826,0.130090,100,1.716927,35,111,0,5,0.000369,0.178218
中午,0.065735,0.038301,-0.001942,0.149467,100,1.716264,268,597,0,6,-0.004633,0.128713
一段时间,0.065558,0.040412,-0.006958,0.143738,100,1.622250,59,307,0,6,0.003781,0.168317
抱紧,0.065503,0.036929,0.000946,0.134797,100,1.773779,13,72,0,5,0.004272,0.148515
草原,0.065495,0.035946,-0.006763,0.129607,100,1.822044,54,1718,0,15,-0.000924,0.118812
犹豫,0.065229,0.035958,-0.008758,0.136385,100,1.814042,302,516,11,14,0.001411,0.118812
畅快,0.065095,0.040271,-0.011640,0.134525,100,1.616404,67,81,12,18,0.000096,0.178218
舅舅,0.064965,0.043605,-0.028667,0.141235,100,1.489847,282,416,3,5,0.003787,0.158416
不自在,0.064932,0.039902,-0.004023,0.139910,100,1.627277,62,132,11,12,-0.000376,0.118812
憋闷,0.064806,0.034593,-0.005527,0.121037,100,1.873418,14,55,1,11,0.005528,0.178218
热血,0.064803,0.037462,-0.007637,0.130675,100,1.729821,82,82,7,6,0.003826,0.138614
部分,0.064677,0.038549,0.000113,0.153833,100,1.677810,139,314,3,6,0.003443,0.168317
将军,0.064376,0.035536,-0.000622,0.126888,100,1.811560,270,364,5,6,-0.000974,0.138614
傻瓜,0.064241,0.037083,-0.000202,0.138799,100,1.732365,98,232,1,7,0.006090,0.168317
寂静,0.064092,0.039563,-0.012536,0.137868,100,1.620009,223,232,3,5,0.000335,0.168317
聚集,0.064029,0.039592,-0.008804,0.139934,100,1.617224,115,154,3,6,-0.004493,0.108911
竟敢,0.064015,0.040097,-0.020568,0.132791,100,1.596504,58,91,0,5,-0.000609,0.099010
暖意,0.063962,0.035426,-0.005029,0.129113,100,1.805477,5,28,0,7,0.003880,0.188119
并非,0.063898,0.042335,-0.015158,0.157588,100,1.509346,90,263,3,5,0.006345,0.168317
小孔,0.063875,0.035527,-0.005896,0.128569,100,1.797911,16,565,0,15,0.009349,0.198020
忐忑不安,0.063873,0.038643,-0.012447,0.139031,100,1.652887,51,64,30,15,-0.006715,0.118812
无边,0.063802,0.038876,-0.023214,0.127846,100,1.641145,77,109,7,6,0.006037,0.158416
报复,0.063653,0.037648,0.005322,0.141570,100,1.690750,141,248,6,13,0.008999,0.178218
