word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
吊桶,-0.045169,0.040084,-0.115620,0.027238,100,-1.126843,39,25,12,17,0.004442,0.831683
委实,-0.045703,0.038056,-0.115447,0.027798,100,-1.200924,92,125,6,8,-0.005248,0.782178
人从,-0.046260,0.041729,-0.121253,0.036865,100,-1.108583,191,156,1,5,0.007912,0.821782
杯酒,-0.046849,0.036237,-0.111535,0.017261,100,-1.292850,391,371,8,5,-0.006792,0.811881
爹爹,-0.048257,0.037683,-0.107691,0.024759,100,-1.280607,508,367,5,7,-0.000747,0.801980
妇女,-0.048366,0.040759,-0.118299,0.036735,100,-1.186651,823,760,9,7,0.004492,0.841584
头儿,-0.048542,0.041040,-0.116570,0.029418,100,-1.182800,349,424,2,5,0.003822,0.881188
鬼神,-0.049007,0.035791,-0.115616,0.026604,100,-1.369257,265,240,5,6,-0.004960,0.821782
太守,-0.049920,0.037133,-0.117821,0.024375,100,-1.344349,1198,800,20,15,0.002723,0.792079
性子,-0.050422,0.035200,-0.116633,0.021891,100,-1.432444,173,121,3,6,0.011537,0.881188
日子,-0.050630,0.033587,-0.119167,0.007450,100,-1.507410,722,821,10,10,-0.004826,0.762376
话儿,-0.050952,0.041090,-0.126700,0.028280,100,-1.239991,152,165,4,6,0.000936,0.801980
何曾,-0.051103,0.044694,-0.141875,0.031873,100,-1.143388,226,216,3,6,-0.007440,0.752475
嫂子,-0.051983,0.042803,-0.134748,0.016087,100,-1.214457,519,199,4,7,0.003340,0.801980
好歹,-0.052402,0.038961,-0.121832,0.021048,100,-1.344990,521,282,12,5,0.001113,0.851485
子来,-0.052861,0.042020,-0.136633,0.018447,100,-1.258006,619,601,7,9,0.009113,0.861386
皇帝,-0.052897,0.040646,-0.129553,0.013670,100,-1.301426,785,675,5,6,-0.005935,0.792079
文章,-0.053027,0.044274,-0.129828,0.025198,100,-1.197689,421,456,9,5,0.003254,0.811881
小弟,-0.053323,0.037170,-0.117663,0.012747,100,-1.434582,2612,1457,15,15,0.008326,0.910891
颜色,-0.053777,0.041266,-0.128463,0.022058,100,-1.303188,494,497,14,5,-0.008072,0.772277
知县,-0.053875,0.035604,-0.112406,0.006977,100,-1.513181,1967,1048,25,15,0.002309,0.831683
时辰,-0.054052,0.035121,-0.109276,0.009714,100,-1.539029,381,350,4,7,-0.011548,0.792079
小人,-0.054444,0.035231,-0.121392,0.011409,100,-1.545337,3758,1295,22,9,0.004060,0.861386
徐氏,-0.054614,0.038755,-0.125770,0.018573,100,-1.409195,151,166,5,9,0.009641,0.841584
实是,-0.054900,0.042644,-0.134590,0.034455,100,-1.287408,430,285,14,8,-0.000637,0.851485
方出,-0.059841,0.035400,-0.127772,0.010525,100,-1.690441,27,18,1,5,-0.008027,0.811881
男女,-0.060810,0.043124,-0.142550,0.025141,100,-1.410109,707,918,7,11,-0.000613,0.900990
身躯,-0.062054,0.041659,-0.138329,0.013162,100,-1.489557,205,284,2,6,-0.009290,0.801980
